Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Realized Profit,Leverage,Margin Mode
2026-06-23 13:26:38,SOLUSDT,SELL,174.559436,15.756023SOL,2750.3625USDT,1.100145USDT,0.0000USDT,5x,Cross
2026-06-23 12:18:59,BTCUSDT,BUY,79177.420704,0.022286BTC,1764.5699USDT,0.705828USDT,4.6242USDT,10x,Cross
2026-06-23 11:41:21,SOLUSDT,BUY,169.441866,9.987236SOL,1692.2559USDT,0.676902USDT,0.0000USDT,5x,Cross
2026-06-23 08:46:19,BTCUSDT,SELL,79384.909521,0.022286BTC,1769.1941USDT,0.707678USDT,0.0000USDT,10x,Cross
2026-06-21 00:38:22,ETHUSDT,SELL,3672.41491,0.51444ETH,1889.2355USDT,0.755694USDT,25.6370USDT,5x,Cross
2026-06-20 21:34:39,ETHUSDT,BUY,3622.58015,0.51444ETH,1863.5986USDT,0.745439USDT,0.0000USDT,5x,Cross
2026-06-20 16:16:18,BTCUSDT,BUY,73870.464336,0.033895BTC,2503.8482USDT,1.001539USDT,63.4759USDT,5x,Cross
2026-06-20 14:53:41,BTCUSDT,SELL,75743.180359,0.033895BTC,2567.3241USDT,1.026930USDT,0.0000USDT,5x,Cross
2026-06-20 12:30:39,ETHUSDT,SELL,3661.852425,0.81251ETH,2975.2900USDT,1.190116USDT,45.7655USDT,5x,Cross
2026-06-20 11:50:17,ETHUSDT,BUY,3605.526364,0.81251ETH,2929.5245USDT,1.171810USDT,0.0000USDT,5x,Cross
2026-06-19 22:22:34,BTCUSDT,BUY,75107.352773,0.042099BTC,3161.9431USDT,1.264777USDT,77.9069USDT,3x,Cross
2026-06-19 21:19:05,BTCUSDT,SELL,76957.9167,0.042099BTC,3239.8499USDT,1.295940USDT,0.0000USDT,3x,Cross
2026-06-19 20:15:11,ETHUSDT,SELL,3616.367576,0.867979ETH,3138.9293USDT,1.255572USDT,75.3246USDT,10x,Cross
2026-06-19 18:23:35,ETHUSDT,BUY,3529.585899,0.867979ETH,3063.6047USDT,1.225442USDT,0.0000USDT,10x,Cross
2026-06-19 05:37:44,DOGEUSDT,SELL,0.158407,14204.997329DOGE,2250.1649USDT,0.900066USDT,-118.8268USDT,20x,Cross
2026-06-19 02:40:06,DOGEUSDT,BUY,0.166772,14204.997329DOGE,2368.9917USDT,0.947597USDT,0.0000USDT,20x,Cross
2026-06-18 22:12:13,ETHUSDT,SELL,3453.891866,0.585332ETH,2021.6750USDT,0.808670USDT,4.0446USDT,10x,Cross
2026-06-18 21:37:35,BTCUSDT,BUY,80197.177241,0.030857BTC,2474.6049USDT,0.989842USDT,65.9023USDT,3x,Cross
2026-06-18 21:02:46,ETHUSDT,BUY,3446.981908,0.585332ETH,2017.6304USDT,0.807052USDT,0.0000USDT,10x,Cross
2026-06-18 20:13:25,BTCUSDT,SELL,82332.942223,0.030857BTC,2540.5072USDT,1.016203USDT,0.0000USDT,3x,Cross
2026-06-13 03:36:00,DOGEUSDT,SELL,0.157671,18453.760528DOGE,2909.6249USDT,1.163850USDT,18.5972USDT,10x,Cross
2026-06-13 02:33:18,DOGEUSDT,BUY,0.156663,18453.760528DOGE,2891.0277USDT,1.156411USDT,0.0000USDT,10x,Cross
2026-06-12 11:59:35,DOGEUSDT,SELL,0.153009,38456.44521DOGE,5884.1884USDT,2.353675USDT,-194.0683USDT,20x,Cross
2026-06-12 11:50:06,BTCUSDT,SELL,77317.841158,0.030305BTC,2343.0789USDT,0.937232USDT,50.4737USDT,10x,Cross
2026-06-12 11:01:43,SOLUSDT,BUY,173.115916,27.497088SOL,4760.1836USDT,1.904073USDT,-61.9216USDT,10x,Cross
2026-06-12 08:26:21,BTCUSDT,BUY,75652.291489,0.030305BTC,2292.6053USDT,0.917042USDT,0.0000USDT,10x,Cross
2026-06-12 07:11:25,DOGEUSDT,SELL,0.162086,27000.791957DOGE,4376.4552USDT,1.750582USDT,-239.8479USDT,25x,Cross
2026-06-12 02:44:07,DOGEUSDT,BUY,0.168604,10367.156116DOGE,1747.9436USDT,0.699177USDT,0.0000USDT,25x,Cross
2026-06-12 01:56:56,DOGEUSDT,BUY,0.172443,16633.635841DOGE,2868.3595USDT,1.147344USDT,0.0000USDT,25x,Cross
2026-06-11 18:27:31,SOLUSDT,SELL,173.029391,11.264769SOL,1949.1361USDT,0.779654USDT,0.0000USDT,10x,Cross
2026-06-11 15:32:04,SOLUSDT,SELL,169.361249,16.232319SOL,2749.1259USDT,1.099650USDT,0.0000USDT,10x,Cross
2026-06-11 13:11:50,SOLUSDT,SELL,168.515032,16.132126SOL,2718.5057USDT,1.087402USDT,-20.8186USDT,3x,Cross
2026-06-11 09:27:44,SOLUSDT,BUY,169.805539,16.132126SOL,2739.3244USDT,1.095730USDT,0.0000USDT,3x,Cross
2026-06-11 07:27:02,DOGEUSDT,BUY,0.151263,6995.120437DOGE,1058.1060USDT,0.423242USDT,0.0000USDT,20x,Cross
2026-06-11 02:19:50,ETHUSDT,BUY,3600.780669,0.483124ETH,1739.6230USDT,0.695849USDT,5.0321USDT,10x,Cross
2026-06-10 23:31:56,ETHUSDT,SELL,3611.196419,0.483124ETH,1744.6551USDT,0.697862USDT,0.0000USDT,10x,Cross
2026-06-10 20:57:56,DOGEUSDT,BUY,0.15741,11587.617364DOGE,1824.0095USDT,0.729604USDT,0.0000USDT,20x,Cross
2026-06-10 10:28:50,DOGEUSDT,BUY,0.159679,9367.484978DOGE,1495.7921USDT,0.598317USDT,0.0000USDT,20x,Cross
2026-06-10 01:44:35,DOGEUSDT,BUY,0.161842,10506.222431DOGE,1700.3491USDT,0.680140USDT,0.0000USDT,20x,Cross
2026-06-09 05:38:06,ETHUSDT,BUY,3220.600083,0.629203ETH,2026.4096USDT,0.810564USDT,75.8204USDT,3x,Cross
2026-06-08 20:21:59,SOLUSDT,SELL,165.810469,14.873828SOL,2466.2365USDT,0.986495USDT,26.9474USDT,3x,Cross
2026-06-08 18:25:49,ETHUSDT,SELL,3341.102491,0.629203ETH,2102.2300USDT,0.840892USDT,0.0000USDT,3x,Cross
2026-06-08 17:37:57,SOLUSDT,BUY,163.998739,14.873828SOL,2439.2891USDT,0.975716USDT,0.0000USDT,3x,Cross
2026-06-06 03:35:16,SOLUSDT,BUY,176.965753,50.928017SOL,9012.5149USDT,3.605006USDT,-361.7590USDT,10x,Cross
2026-06-06 00:24:00,SOLUSDT,SELL,176.610776,10.119822SOL,1787.2697USDT,0.714908USDT,0.0000USDT,10x,Cross
2026-06-05 23:13:45,SOLUSDT,SELL,172.115285,12.749819SOL,2194.4387USDT,0.877775USDT,0.0000USDT,10x,Cross
2026-06-05 22:03:29,SOLUSDT,SELL,168.027948,12.302353SOL,2067.1391USDT,0.826856USDT,0.0000USDT,10x,Cross
2026-06-05 21:04:56,SOLUSDT,SELL,165.137382,15.756023SOL,2601.9084USDT,1.040763USDT,0.0000USDT,10x,Cross
2026-06-05 07:34:17,DOGEUSDT,BUY,0.173816,17834.671642DOGE,3099.9592USDT,1.239984USDT,-55.0440USDT,10x,Cross
2026-06-05 01:22:46,SOLUSDT,SELL,155.080748,56.227524SOL,8719.8064USDT,3.487923USDT,-101.9037USDT,25x,Cross
2026-06-05 01:04:11,DOGEUSDT,SELL,0.17073,17834.671642DOGE,3044.9152USDT,1.217966USDT,0.0000USDT,10x,Cross
2026-06-04 13:15:27,ETHUSDT,BUY,3464.633479,0.941037ETH,3260.3489USDT,1.304140USDT,38.0411USDT,5x,Cross
2026-06-04 10:53:26,ETHUSDT,SELL,3505.058117,0.941037ETH,3298.3900USDT,1.319356USDT,0.0000USDT,5x,Cross
2026-06-03 20:16:22,SOLUSDT,BUY,153.119299,15.37015SOL,2353.4666USDT,0.941387USDT,0.0000USDT,25x,Cross
2026-06-03 19:39:35,SOLUSDT,BUY,181.617856,69.674477SOL,12654.1291USDT,5.061652USDT,-420.7494USDT,25x,Cross
2026-06-03 12:27:38,SOLUSDT,SELL,181.248316,17.221444SOL,3121.3577USDT,1.248543USDT,0.0000USDT,25x,Cross
2026-06-03 12:27:11,SOLUSDT,BUY,157.358856,21.388167SOL,3365.6174USDT,1.346247USDT,0.0000USDT,25x,Cross
2026-06-03 09:48:58,SOLUSDT,SELL,176.049418,21.394473SOL,3766.4845USDT,1.506594USDT,0.0000USDT,25x,Cross
2026-06-03 07:10:17,SOLUSDT,SELL,173.358694,12.777094SOL,2215.0204USDT,0.886008USDT,0.0000USDT,25x,Cross
2026-06-03 05:56:12,SOLUSDT,BUY,159.36068,19.469207SOL,3102.6261USDT,1.241050USDT,0.0000USDT,25x,Cross
2026-06-03 04:58:03,SOLUSDT,SELL,171.239942,18.281465SOL,3130.5171USDT,1.252207USDT,0.0000USDT,25x,Cross
2026-06-02 19:37:51,SOLUSDT,SELL,157.473655,16.260136SOL,2560.5430USDT,1.024217USDT,-29.6411USDT,5x,Cross
2026-06-02 12:48:50,DOGEUSDT,BUY,0.191185,35949.518853DOGE,6873.0146USDT,2.749206USDT,-506.5880USDT,25x,Cross
2026-06-02 09:16:19,SOLUSDT,BUY,159.296584,16.260136SOL,2590.1841USDT,1.036074USDT,0.0000USDT,5x,Cross
2026-06-02 08:00:35,DOGEUSDT,SELL,0.179746,13610.78674DOGE,2446.4804USDT,0.978592USDT,0.0000USDT,25x,Cross
2026-06-02 06:43:08,DOGEUSDT,SELL,0.176969,10316.30856DOGE,1825.6646USDT,0.730266USDT,0.0000USDT,25x,Cross
2026-06-02 05:38:36,DOGEUSDT,SELL,0.174198,12022.423553DOGE,2094.2816USDT,0.837713USDT,0.0000USDT,25x,Cross
2026-05-30 19:00:18,ETHUSDT,BUY,3543.361318,0.689193ETH,2442.0588USDT,0.976824USDT,10.9971USDT,3x,Cross
2026-05-30 17:20:36,ETHUSDT,SELL,3559.317787,0.689193ETH,2453.0559USDT,0.981222USDT,0.0000USDT,3x,Cross
2026-05-30 04:08:14,BTCUSDT,BUY,83012.341618,0.03638BTC,3020.0045USDT,1.208002USDT,-23.7490USDT,5x,Cross
2026-05-29 10:04:22,BTCUSDT,SELL,82359.540211,0.03638BTC,2996.2555USDT,1.198502USDT,0.0000USDT,5x,Cross
2026-05-28 10:00:34,ETHUSDT,SELL,3532.899211,0.680542ETH,2404.2853USDT,0.961714USDT,-61.1840USDT,10x,Cross
2026-05-28 03:11:41,ETHUSDT,BUY,3622.804038,0.680542ETH,2465.4693USDT,0.986188USDT,0.0000USDT,10x,Cross
2026-05-27 09:29:58,SOLUSDT,SELL,156.646864,18.997382SOL,2975.8803USDT,1.190352USDT,-136.4104USDT,20x,Cross
2026-05-27 07:12:46,DOGEUSDT,BUY,0.160174,18688.245368DOGE,2993.3638USDT,1.197346USDT,24.5296USDT,20x,Cross
2026-05-27 05:04:03,DOGEUSDT,SELL,0.161486,18688.245368DOGE,3017.8934USDT,1.207157USDT,0.0000USDT,20x,Cross
2026-05-26 20:58:38,BTCUSDT,SELL,77562.841353,0.033668BTC,2611.3990USDT,1.044560USDT,25.3121USDT,5x,Cross
2026-05-26 20:09:31,BTCUSDT,SELL,81656.493007,0.023312BTC,1903.5665USDT,0.761427USDT,27.4317USDT,5x,Cross
2026-05-26 18:47:18,BTCUSDT,BUY,76811.029109,0.033668BTC,2586.0869USDT,1.034435USDT,0.0000USDT,5x,Cross
2026-05-26 16:37:07,BTCUSDT,BUY,70243.662001,0.031958BTC,2244.8494USDT,0.897940USDT,82.4105USDT,5x,Cross
2026-05-26 15:55:17,BTCUSDT,SELL,72822.37128,0.031958BTC,2327.2599USDT,0.930904USDT,0.0000USDT,5x,Cross
2026-05-26 08:11:23,BTCUSDT,BUY,80479.765697,0.023312BTC,1876.1348USDT,0.750454USDT,0.0000USDT,5x,Cross
2026-05-26 02:46:09,SOLUSDT,BUY,163.827348,18.997382SOL,3112.2907USDT,1.244916USDT,0.0000USDT,20x,Cross
2026-05-25 10:41:52,ETHUSDT,SELL,3811.989433,0.870065ETH,3316.6784USDT,1.326671USDT,82.2338USDT,5x,Cross
2026-05-25 09:34:05,BTCUSDT,SELL,79725.800676,0.022006BTC,1754.4134USDT,0.701765USDT,30.9258USDT,3x,Cross
2026-05-25 08:51:05,ETHUSDT,BUY,3717.474903,0.870065ETH,3234.4447USDT,1.293778USDT,0.0000USDT,5x,Cross
2026-05-24 22:27:50,BTCUSDT,BUY,78320.437801,0.022006BTC,1723.4876USDT,0.689395USDT,0.0000USDT,3x,Cross
2026-05-24 17:26:21,ETHUSDT,SELL,3503.571081,0.642167ETH,2249.8774USDT,0.899951USDT,18.2968USDT,5x,Cross
2026-05-24 15:44:34,ETHUSDT,BUY,3475.078789,0.642167ETH,2231.5806USDT,0.892632USDT,0.0000USDT,5x,Cross
2026-05-23 23:38:26,ETHUSDT,BUY,3636.15682,0.790758ETH,2875.3208USDT,1.150128USDT,22.9263USDT,5x,Cross
2026-05-23 15:28:26,SOLUSDT,SELL,150.914924,69.868968SOL,10544.2700USDT,4.217708USDT,-378.5230USDT,3x,Cross
2026-05-23 14:27:51,ETHUSDT,SELL,3665.149684,0.790758ETH,2898.2472USDT,1.159299USDT,0.0000USDT,5x,Cross
2026-05-23 08:55:10,SOLUSDT,SELL,155.395031,60.273888SOL,9366.2628USDT,3.746505USDT,-364.8957USDT,25x,Cross
2026-05-23 06:54:49,SOLUSDT,BUY,157.75364,19.508147SOL,3077.4812USDT,1.230992USDT,0.0000USDT,25x,Cross
2026-05-23 06:22:28,SOLUSDT,BUY,162.222518,20.506772SOL,3326.6602USDT,1.330664USDT,0.0000USDT,25x,Cross
2026-05-23 05:55:32,SOLUSDT,BUY,164.224398,20.258969SOL,3327.0171USDT,1.330807USDT,0.0000USDT,25x,Cross
2026-05-22 22:43:05,DOGEUSDT,BUY,0.158485,20989.94125DOGE,3326.5860USDT,1.330634USDT,-49.5556USDT,3x,Cross
2026-05-22 19:37:43,DOGEUSDT,SELL,0.156124,20989.94125DOGE,3277.0304USDT,1.310812USDT,0.0000USDT,3x,Cross
2026-05-22 13:38:14,BTCUSDT,SELL,80254.113196,0.022957BTC,1842.3829USDT,0.736953USDT,22.1110USDT,10x,Cross
2026-05-22 12:23:17,BTCUSDT,BUY,79290.95824,0.022957BTC,1820.2718USDT,0.728109USDT,0.0000USDT,10x,Cross
2026-05-22 05:57:25,SOLUSDT,BUY,150.719318,15.579357SOL,2348.1101USDT,0.939244USDT,0.0000USDT,3x,Cross
2026-05-22 01:37:11,SOLUSDT,SELL,169.174272,12.442895SOL,2105.0176USDT,0.842007USDT,7.3061USDT,25x,Cross
2026-05-22 00:58:14,SOLUSDT,BUY,168.587105,12.442895SOL,2097.7116USDT,0.839085USDT,0.0000USDT,25x,Cross
2026-05-21 17:38:41,SOLUSDT,BUY,155.861061,20.816291SOL,3244.4492USDT,1.297780USDT,0.0000USDT,3x,Cross
2026-05-21 05:19:56,SOLUSDT,BUY,157.588469,13.576294SOL,2139.4673USDT,0.855787USDT,0.0000USDT,3x,Cross
2026-05-20 19:04:19,SOLUSDT,BUY,160.363987,19.897026SOL,3190.7663USDT,1.276307USDT,0.0000USDT,3x,Cross
2026-05-19 15:07:48,ETHUSDT,SELL,3651.483165,0.867442ETH,3167.4502USDT,1.266980USDT,58.3877USDT,5x,Cross
2026-05-19 12:34:32,ETHUSDT,BUY,3584.172982,0.867442ETH,3109.0625USDT,1.243625USDT,0.0000USDT,5x,Cross
2026-05-19 10:13:43,ETHUSDT,SELL,3590.701411,0.551432ETH,1980.0273USDT,0.792011USDT,-3.8928USDT,20x,Cross
2026-05-19 04:59:41,ETHUSDT,BUY,3597.760823,0.551432ETH,1983.9201USDT,0.793568USDT,0.0000USDT,20x,Cross
2026-05-17 13:14:40,DOGEUSDT,BUY,0.156844,17861.74889DOGE,2801.5057USDT,1.120602USDT,2.1132USDT,3x,Cross
2026-05-17 12:35:03,DOGEUSDT,SELL,0.156962,17861.74889DOGE,2803.6189USDT,1.121448USDT,0.0000USDT,3x,Cross
2026-05-17 01:37:20,ETHUSDT,SELL,3445.886399,0.515665ETH,1776.9240USDT,0.710770USDT,-21.0381USDT,10x,Cross
2026-05-16 22:50:45,ETHUSDT,BUY,3486.68439,0.515665ETH,1797.9621USDT,0.719185USDT,0.0000USDT,10x,Cross
2026-05-16 17:27:53,ETHUSDT,SELL,3372.631795,0.701156ETH,2364.7401USDT,0.945896USDT,18.3814USDT,5x,Cross
2026-05-16 15:25:01,ETHUSDT,BUY,3346.415922,0.701156ETH,2346.3586USDT,0.938543USDT,0.0000USDT,5x,Cross
2026-05-16 09:32:26,DOGEUSDT,SELL,0.156545,31561.111673DOGE,4940.7401USDT,1.976296USDT,-130.7643USDT,10x,Cross
2026-05-16 08:01:41,SOLUSDT,SELL,161.552951,17.334011SOL,2800.3606USDT,1.120144USDT,-80.3081USDT,25x,Cross
2026-05-16 03:54:56,SOLUSDT,SELL,173.194562,12.177017SOL,2108.9932USDT,0.843597USDT,7.5954USDT,5x,Cross
2026-05-16 03:40:26,DOGEUSDT,BUY,0.159159,11201.654379DOGE,1782.8445USDT,0.713138USDT,0.0000USDT,10x,Cross
2026-05-16 02:05:51,DOGEUSDT,BUY,0.159367,8909.812038DOGE,1419.9277USDT,0.567971USDT,0.0000USDT,10x,Cross
2026-05-16 00:47:03,DOGEUSDT,BUY,0.163213,11449.645256DOGE,1868.7322USDT,0.747493USDT,0.0000USDT,10x,Cross
2026-05-16 00:16:01,SOLUSDT,BUY,166.18593,17.334011SOL,2880.6687USDT,1.152267USDT,0.0000USDT,25x,Cross
2026-05-15 23:17:21,SOLUSDT,BUY,172.570815,12.177017SOL,2101.3978USDT,0.840559USDT,0.0000USDT,5x,Cross
2026-05-15 16:11:36,BTCUSDT,SELL,71546.02006,0.037447BTC,2679.1981USDT,1.071679USDT,5.4046USDT,5x,Cross
2026-05-15 14:27:40,BTCUSDT,BUY,71401.694962,0.037447BTC,2673.7935USDT,1.069517USDT,0.0000USDT,5x,Cross
2026-05-15 12:12:20,BTCUSDT,BUY,69614.413959,0.025272BTC,1759.2948USDT,0.703718USDT,40.5563USDT,5x,Cross
2026-05-15 08:56:12,BTCUSDT,SELL,71219.206138,0.025272BTC,1799.8511USDT,0.719940USDT,0.0000USDT,5x,Cross
2026-05-14 21:00:08,DOGEUSDT,SELL,0.163067,18801.485853DOGE,3065.9001USDT,1.226360USDT,-84.5175USDT,20x,Cross
2026-05-14 00:18:42,DOGEUSDT,BUY,0.167562,18801.485853DOGE,3150.4176USDT,1.260167USDT,0.0000USDT,20x,Cross
2026-05-11 09:34:23,ETHUSDT,SELL,3776.179826,0.766971ETH,2896.2186USDT,1.158487USDT,66.8184USDT,5x,Cross
2026-05-11 07:42:14,ETHUSDT,BUY,3689.059972,0.766971ETH,2829.4002USDT,1.131760USDT,0.0000USDT,5x,Cross
2026-05-09 20:30:38,ETHUSDT,SELL,3511.513957,0.528338ETH,1855.2653USDT,0.742106USDT,24.3698USDT,5x,Cross
2026-05-09 18:16:32,ETHUSDT,BUY,3465.388628,0.528338ETH,1830.8956USDT,0.732358USDT,0.0000USDT,5x,Cross
2026-05-09 18:14:50,ETHUSDT,BUY,3543.190884,1.762105ETH,6243.4736USDT,2.497389USDT,-60.3128USDT,3x,Cross
2026-05-09 02:03:31,ETHUSDT,SELL,3576.287617,0.65564ETH,2344.7561USDT,0.937902USDT,0.0000USDT,3x,Cross
2026-05-08 21:42:34,ETHUSDT,SELL,3498.358761,0.477357ETH,1669.9674USDT,0.667987USDT,0.0000USDT,3x,Cross
2026-05-08 18:05:07,ETHUSDT,SELL,3446.845951,0.629108ETH,2168.4373USDT,0.867375USDT,0.0000USDT,3x,Cross
2026-05-08 15:08:01,SOLUSDT,BUY,168.665145,10.149774SOL,1711.9131USDT,0.684765USDT,13.6163USDT,5x,Cross
2026-05-08 13:50:53,SOLUSDT,SELL,170.006679,10.149774SOL,1725.5294USDT,0.690212USDT,0.0000USDT,5x,Cross
2026-05-07 22:36:22,BTCUSDT,SELL,75932.571105,0.033709BTC,2559.6044USDT,1.023842USDT,31.5206USDT,5x,Cross
2026-05-07 21:26:11,BTCUSDT,BUY,74997.490085,0.033709BTC,2528.0839USDT,1.011234USDT,0.0000USDT,5x,Cross
2026-05-04 15:59:21,DOGEUSDT,SELL,0.14766,34679.150042DOGE,5120.7110USDT,2.048284USDT,-167.6203USDT,5x,Cross
2026-05-04 13:53:26,DOGEUSDT,BUY,0.149093,13015.154415DOGE,1940.4632USDT,0.776185USDT,0.0000USDT,5x,Cross
2026-05-04 13:19:37,DOGEUSDT,BUY,0.15343,10417.324153DOGE,1598.3263USDT,0.639331USDT,0.0000USDT,5x,Cross
2026-05-04 12:51:25,DOGEUSDT,BUY,0.155561,11246.671474DOGE,1749.5418USDT,0.699817USDT,0.0000USDT,5x,Cross
2026-05-04 10:05:56,BTCUSDT,SELL,69731.503469,0.030361BTC,2117.1215USDT,0.846849USDT,-24.2883USDT,5x,Cross
2026-05-03 13:18:55,BTCUSDT,SELL,74583.083074,0.037745BTC,2815.1047USDT,1.126042USDT,42.2239USDT,10x,Cross
2026-05-03 11:12:26,BTCUSDT,BUY,70531.485404,0.030361BTC,2141.4098USDT,0.856564USDT,0.0000USDT,5x,Cross
2026-05-03 09:48:03,BTCUSDT,BUY,73464.406943,0.037745BTC,2772.8807USDT,1.109152USDT,0.0000USDT,10x,Cross
2026-05-03 01:28:49,SOLUSDT,SELL,158.755798,25.883639SOL,4109.1777USDT,1.643671USDT,-90.7250USDT,10x,Cross
2026-05-02 20:15:10,SOLUSDT,BUY,160.464473,10.605516SOL,1701.8085USDT,0.680723USDT,0.0000USDT,10x,Cross
2026-05-02 19:19:49,SOLUSDT,BUY,163.507926,15.278123SOL,2498.0942USDT,0.999238USDT,0.0000USDT,10x,Cross
2026-05-02 09:41:37,DOGEUSDT,BUY,0.177962,15062.685215DOGE,2680.5787USDT,1.072231USDT,-213.7989USDT,25x,Cross
2026-05-02 01:58:18,DOGEUSDT,SELL,0.163768,15062.685215DOGE,2466.7798USDT,0.986712USDT,0.0000USDT,25x,Cross
2026-05-01 23:02:15,SOLUSDT,BUY,164.839619,13.730075SOL,2263.2603USDT,0.905304USDT,9.4343USDT,10x,Cross
2026-05-01 20:22:59,SOLUSDT,SELL,165.526747,13.730075SOL,2272.6946USDT,0.909078USDT,0.0000USDT,10x,Cross
2026-05-01 12:52:36,BTCUSDT,BUY,73960.000684,0.030814BTC,2279.0197USDT,0.911608USDT,65.6320USDT,3x,Cross
2026-05-01 10:39:10,BTCUSDT,SELL,76089.927592,0.030814BTC,2344.6518USDT,0.937861USDT,0.0000USDT,3x,Cross
2026-04-28 23:34:37,BTCUSDT,SELL,72675.350235,0.032189BTC,2339.3635USDT,0.935745USDT,98.2524USDT,5x,Cross
2026-04-28 21:07:04,BTCUSDT,BUY,69623.012315,0.032189BTC,2241.1111USDT,0.896444USDT,0.0000USDT,5x,Cross
2026-04-27 13:12:28,BTCUSDT,SELL,68834.713457,0.03776BTC,2599.2270USDT,1.039691USDT,-45.4880USDT,10x,Cross
2026-04-27 07:55:37,BTCUSDT,BUY,70039.362045,0.03776BTC,2644.7150USDT,1.057886USDT,0.0000USDT,10x,Cross
2026-04-27 06:30:46,BTCUSDT,SELL,71085.427477,0.067508BTC,4798.8311USDT,1.919532USDT,-103.9373USDT,5x,Cross
2026-04-26 21:34:39,ETHUSDT,SELL,3656.350617,0.472152ETH,1726.3546USDT,0.690542USDT,35.0909USDT,5x,Cross
2026-04-26 16:43:36,BTCUSDT,BUY,70630.352827,0.044964BTC,3175.8367USDT,1.270335USDT,56.0629USDT,3x,Cross
2026-04-26 15:28:59,ETHUSDT,BUY,3582.029577,0.472152ETH,1691.2637USDT,0.676505USDT,0.0000USDT,5x,Cross
2026-04-26 15:18:07,BTCUSDT,SELL,71877.187153,0.044964BTC,3231.8996USDT,1.292760USDT,0.0000USDT,3x,Cross
2026-04-26 09:40:14,SOLUSDT,SELL,169.689332,13.455142SOL,2283.1940USDT,0.913278USDT,-2.2427USDT,5x,Cross
2026-04-26 06:32:58,SOLUSDT,BUY,169.856009,13.455142SOL,2285.4366USDT,0.914175USDT,0.0000USDT,5x,Cross
2026-04-26 05:22:09,BTCUSDT,BUY,70838.789552,0.020294BTC,1437.5756USDT,0.575030USDT,0.0000USDT,5x,Cross
2026-04-26 02:33:54,BTCUSDT,SELL,78126.897953,0.024895BTC,1945.0033USDT,0.778001USDT,89.5512USDT,10x,Cross
2026-04-25 22:36:50,BTCUSDT,BUY,72702.114632,0.023382BTC,1699.9345USDT,0.679974USDT,0.0000USDT,5x,Cross
2026-04-25 21:03:44,BTCUSDT,BUY,74529.804351,0.024895BTC,1855.4521USDT,0.742181USDT,0.0000USDT,10x,Cross
2026-04-25 16:59:05,BTCUSDT,BUY,74070.505125,0.023832BTC,1765.2583USDT,0.706103USDT,0.0000USDT,5x,Cross
2026-04-25 13:23:14,ETHUSDT,SELL,3576.557658,0.839741ETH,3003.3809USDT,1.201352USDT,86.2329USDT,5x,Cross
2026-04-25 12:19:31,ETHUSDT,BUY,3473.867708,0.839741ETH,2917.1480USDT,1.166859USDT,0.0000USDT,5x,Cross
2026-04-25 10:02:53,BTCUSDT,BUY,68402.716889,0.024422BTC,1670.5343USDT,0.668214USDT,23.6752USDT,5x,Cross
2026-04-25 09:20:46,BTCUSDT,SELL,69372.137669,0.024422BTC,1694.2095USDT,0.677684USDT,0.0000USDT,5x,Cross
2026-04-25 03:23:40,DOGEUSDT,SELL,0.155249,19272.481857DOGE,2992.0418USDT,1.196817USDT,10.2958USDT,5x,Cross
2026-04-24 22:34:28,DOGEUSDT,BUY,0.154715,19272.481857DOGE,2981.7459USDT,1.192698USDT,0.0000USDT,5x,Cross
2026-04-23 00:56:27,BTCUSDT,BUY,70241.183028,0.042746BTC,3002.5131USDT,1.201005USDT,15.4224USDT,5x,Cross
2026-04-22 22:35:54,BTCUSDT,SELL,70601.975881,0.042746BTC,3017.9354USDT,1.207174USDT,0.0000USDT,5x,Cross
2026-04-21 20:44:11,ETHUSDT,SELL,3451.865679,0.547823ETH,1891.0116USDT,0.756405USDT,37.2393USDT,3x,Cross
2026-04-21 18:59:33,ETHUSDT,BUY,3383.888804,0.547823ETH,1853.7723USDT,0.741509USDT,0.0000USDT,3x,Cross
2026-04-21 14:47:41,ETHUSDT,SELL,3388.491888,0.675597ETH,2289.2538USDT,0.915702USDT,26.4918USDT,3x,Cross
2026-04-21 11:41:57,ETHUSDT,BUY,3349.279428,0.675597ETH,2262.7620USDT,0.905105USDT,0.0000USDT,3x,Cross
2026-04-21 00:06:15,ETHUSDT,SELL,3528.333038,0.804024ETH,2836.8661USDT,1.134746USDT,38.6955USDT,5x,Cross
2026-04-20 21:54:14,ETHUSDT,BUY,3480.205834,0.804024ETH,2798.1707USDT,1.119268USDT,0.0000USDT,5x,Cross
2026-04-20 14:19:59,ETHUSDT,SELL,3279.346755,0.971141ETH,3184.7071USDT,1.273883USDT,-23.3023USDT,5x,Cross
2026-04-19 12:44:28,ETHUSDT,BUY,3303.341522,0.971141ETH,3208.0094USDT,1.283204USDT,0.0000USDT,5x,Cross
2026-04-19 05:43:55,DOGEUSDT,SELL,0.165075,13685.829707DOGE,2259.1876USDT,0.903675USDT,-19.6390USDT,20x,Cross
2026-04-18 20:28:18,ETHUSDT,SELL,3397.529342,0.772438ETH,2624.3818USDT,1.049753USDT,-13.0423USDT,25x,Cross
2026-04-18 13:49:49,ETHUSDT,BUY,3180.320503,0.753303ETH,2395.7463USDT,0.958299USDT,77.3979USDT,5x,Cross
2026-04-18 12:19:16,ETHUSDT,SELL,3283.065179,0.753303ETH,2473.1442USDT,0.989258USDT,0.0000USDT,5x,Cross
